,month,day,day_of_week,binned_dep,binned_arr,binned_distance,carrier_encoded
84747,1,5,6,3,4,1,5
106852,1,5,6,5,6,1,3
75515,1,4,5,5,6,1,0
76353,1,4,5,3,4,1,3
55317,1,3,4,5,7,2,3
61091,1,3,4,4,5,2,7
103645,1,5,6,4,4,1,8
79419,1,4,5,5,6,1,2
76196,1,4,5,4,4,1,4
91912,1,5,6,3,4,2,6
20864,1,2,3,3,4,1,0
48905,1,3,4,5,6,1,3
50145,1,3,4,3,4,1,9
148278,1,7,1,4,4,1,0
70319,1,4,5,7,8,1,0
56295,1,3,4,3,4,1,8
128671,1,6,0,5,5,1,3
149333,1,7,1,6,7,1,3
12325,1,1,2,5,6,1,9
141911,1,7,1,2,3,1,8
73857,1,4,5,4,4,1,9
77587,1,4,5,6,6,1,3
64785,1,4,5,5,5,1,0
131996,1,7,1,4,5,1,9
64216,1,3,4,6,7,1,0
99210,1,5,6,7,8,2,8
60687,1,3,4,6,6,1,0
130690,1,7,1,7,7,1,9
116705,1,6,0,5,6,1,0
127945,1,6,0,2,3,1,3
53667,1,3,4,2,4,2,3
124373,1,6,0,3,3,1,8
16450,1,1,2,6,8,2,1
43644,1,3,4,4,6,2,0
15512,1,1,2,4,5,2,2
130756,1,7,1,5,7,2,9
48897,1,3,4,4,5,1,3
122870,1,6,0,6,7,2,0
64405,1,3,4,7,8,1,3
42348,1,3,4,6,6,1,0
79150,1,4,5,3,4,1,0
43279,1,3,4,2,3,1,1
72045,1,4,5,3,4,1,7
72355,1,4,5,5,6,1,8
50035,1,3,4,4,5,1,9
2200,1,1,2,4,6,2,0
54559,1,3,4,7,8,1,3
42622,1,3,4,3,4,1,8
113083,1,6,0,3,4,1,3
15138,1,1,2,4,4,1,5
16521,1,1,2,3,4,1,1
26960,1,2,3,7,7,1,9
43121,1,3,4,6,7,1,1
141612,1,7,1,6,8,2,8
136251,1,7,1,2,4,2,3
91279,1,5,6,7,8,1,0
5625,1,1,2,3,4,2,8
18912,1,1,2,7,8,1,8
130140,1,7,1,4,6,2,9
7929,1,1,2,5,5,1,7
115898,1,6,0,6,7,2,1
23750,1,2,3,6,7,1,3
91136,1,5,6,3,4,1,0
5286,1,1,2,2,3,1,8
122803,1,6,0,4,5,1,0
21431,1,2,3,3,4,2,1
144886,1,7,1,7,8,1,8
121262,1,6,0,5,6,1,8
52264,1,3,4,4,7,2,1
134755,1,7,1,4,5,1,7
52241,1,3,4,8,3,2,1
74811,1,4,5,4,5,1,0
1517,1,1,2,8,8,1,8
53359,1,3,4,5,5,1,0
110301,1,6,0,2,2,1,6
20972,1,2,3,3,4,2,1
59795,1,3,4,5,6,1,0
9057,1,1,2,5,6,2,3
131548,1,7,1,3,5,2,9
110527,1,6,0,7,7,1,0
49238,1,3,4,4,4,1,9
58278,1,3,4,5,6,1,9
51876,1,3,4,5,6,2,1
107693,1,6,0,6,7,2,9
134204,1,7,1,3,4,2,0
34987,1,2,3,3,3,1,9
35676,1,2,3,7,8,1,8
10066,1,1,2,7,8,1,8
74121,1,4,5,7,7,1,8
22326,1,2,3,8,8,1,0
101221,1,5,6,2,4,1,9
130382,1,7,1,6,7,1,9
139202,1,7,1,3,4,2,3
106883,1,5,6,3,3,1,3
123068,1,6,0,6,7,2,7
62073,1,3,4,2,3,1,0
91308,1,5,6,5,5,1,0
47644,1,3,4,6,7,1,8
96294,1,5,6,3,4,2,9
85777,1,5,6,4,5,1,1
34196,1,2,3,4,4,1,9
126109,1,6,0,6,6,1,0
33075,1,2,3,5,6,1,9
136823,1,7,1,7,8,1,0
15031,1,1,2,5,5,1,3
36297,1,2,3,7,7,1,1
57927,1,3,4,5,6,1,9
49134,1,3,4,7,8,2,9
97800,1,5,6,7,8,1,0
148260,1,7,1,4,5,1,0
82708,1,4,5,7,8,1,8
75607,1,4,5,4,5,2,0
126539,1,6,0,4,5,1,2
129713,1,6,0,6,7,1,3
89872,1,5,6,4,5,1,8
67047,1,4,5,5,6,1,1
124546,1,6,0,7,1,1,8
45857,1,3,4,6,7,1,8
120197,1,6,0,2,3,1,3
40040,1,2,3,6,6,1,8
129345,1,6,0,7,8,1,0
86303,1,5,6,3,3,1,1
23141,1,2,3,8,3,2,3
33608,1,2,3,8,8,1,9
6933,1,1,2,5,6,1,0
17495,1,1,2,3,4,1,3
60193,1,3,4,6,7,1,0
107052,1,6,0,8,8,1,9
75644,1,4,5,6,6,1,0
90483,1,5,6,3,4,1,8
12162,1,1,2,8,1,1,9
21569,1,2,3,4,5,1,1
126147,1,6,0,7,7,1,0
46208,1,3,4,4,5,1,8
58449,1,3,4,5,5,1,9
36161,1,2,3,6,7,1,0
49341,1,3,4,6,7,1,9
62826,1,3,4,4,5,2,2
33211,1,2,3,7,8,2,9
12075,1,1,2,5,5,1,9
22273,1,2,3,6,8,2,0
93094,1,5,6,5,6,1,4
111955,1,6,0,4,5,1,3
146096,1,7,1,2,3,1,3
19836,1,2,3,7,7,1,5
57195,1,3,4,7,8,1,9
19774,1,2,3,3,3,1,5
75081,1,4,5,7,8,2,2
51587,1,3,4,2,3,2,2
109919,1,6,0,4,5,1,0
33078,1,2,3,4,5,1,9
143403,1,7,1,3,3,1,2
45919,1,3,4,5,6,1,8
69414,1,4,5,3,4,2,8
91146,1,5,6,6,7,1,0
134956,1,7,1,3,4,1,3
136736,1,7,1,3,4,1,0
53996,1,3,4,8,8,1,3
100954,1,5,6,7,7,1,9
80786,1,4,5,3,6,2,0
18191,1,1,2,1,3,2,8
115818,1,6,0,3,4,2,1
100918,1,5,6,7,8,1,9
75240,1,4,5,4,5,1,0
128581,1,6,0,7,8,1,3
146422,1,7,1,3,4,1,0
122133,1,6,0,5,6,1,0
66903,1,4,5,6,7,1,0
147891,1,7,1,5,5,1,0
83057,1,4,5,5,6,1,8
75203,1,4,5,6,8,2,6
86051,1,5,6,2,3,2,1
1027,1,1,2,4,4,1,9
91294,1,5,6,7,8,1,0
119046,1,6,0,4,5,1,8
135785,1,7,1,4,5,1,3
83876,1,4,5,4,4,1,8
60691,1,3,4,4,5,1,0
92773,1,5,6,8,1,1,4
101766,1,5,6,5,6,1,9
95712,1,5,6,2,3,1,0
127061,1,6,0,7,8,2,0
101946,1,5,6,3,4,2,9
109676,1,6,0,6,7,1,9
121210,1,6,0,7,8,1,8
3200,1,1,2,5,5,1,0
136393,1,7,1,4,5,1,3
114732,1,6,0,7,8,2,5
21049,1,2,3,5,5,1,1
128702,1,6,0,5,6,1,3
48497,1,3,4,5,6,2,0
84584,1,5,6,7,8,2,5
147005,1,7,1,5,5,1,1
128025,1,6,0,3,4,2,3
106834,1,5,6,7,7,1,3
145215,1,7,1,7,7,1,8
30662,1,2,3,7,7,1,0
19807,1,2,3,4,5,1,5
100967,1,5,6,2,3,1,9
131288,1,7,1,7,8,1,9
49685,1,3,4,7,7,1,9
71258,1,4,5,6,7,1,0
60305,1,3,4,3,4,1,0
9758,1,1,2,3,4,1,8
19030,1,1,2,6,6,1,8
129706,1,6,0,5,6,1,3
138121,1,7,1,3,4,1,0
97588,1,5,6,4,5,1,0
122130,1,6,0,3,4,1,0
91466,1,5,6,3,4,1,0
21756,1,2,3,2,4,2,0
81531,1,4,5,3,3,1,3
30990,1,2,3,4,5,1,0
19141,1,1,2,6,6,1,8
39153,1,2,3,5,5,1,8
88689,1,5,6,7,8,1,3
66838,1,4,5,5,5,1,0
143134,1,7,1,6,7,1,2
42149,1,3,4,2,3,1,0
138821,1,7,1,4,5,2,0
127130,1,6,0,5,6,2,0
125727,1,6,0,3,4,1,8
71441,1,4,5,7,8,1,0
109668,1,6,0,3,4,1,9
143714,1,7,1,7,7,1,0
127551,1,6,0,4,4,1,4
106020,1,5,6,3,3,2,8
124827,1,6,0,6,6,1,8
8880,1,1,2,5,6,1,3
45906,1,3,4,4,4,1,8
98432,1,5,6,5,7,2,7
52072,1,3,4,5,6,1,1
39722,1,2,3,6,8,1,8
117063,1,6,0,4,4,1,0
67643,1,4,5,3,5,2,3
14107,1,1,2,6,6,1,0
50349,1,3,4,6,6,1,9
32133,1,2,3,6,7,1,7
37240,1,2,3,5,6,1,7
21895,1,2,3,4,4,1,0
145484,1,7,1,2,3,1,8
49465,1,3,4,4,4,1,9
76662,1,4,5,5,5,2,3
121473,1,6,0,6,6,1,0
34301,1,2,3,5,7,1,9
72866,1,4,5,7,8,1,9
127396,1,6,0,7,7,1,0
19792,1,2,3,6,6,1,5
43762,1,3,4,5,6,1,0
125891,1,6,0,3,4,1,0
3227,1,1,2,7,7,1,0
34097,1,2,3,3,3,1,9
34117,1,2,3,3,3,1,9
56051,1,3,4,5,6,1,8
37715,1,2,3,3,3,1,0
27420,1,2,3,6,7,1,8
101755,1,5,6,4,5,1,9
43350,1,3,4,7,8,1,1
25687,1,2,3,8,8,1,8
25326,1,2,3,3,4,1,8
73452,1,4,5,6,8,1,9
52361,1,3,4,3,4,1,1
48919,1,3,4,3,3,1,3
143591,1,7,1,5,5,1,0
9771,1,1,2,5,5,1,8
104508,1,5,6,6,7,2,0
143165,1,7,1,2,3,1,2
2223,1,1,2,6,8,2,0
52401,1,3,4,7,7,1,1
49016,1,3,4,7,8,1,3
140798,1,7,1,6,7,1,8
125943,1,6,0,3,4,1,0
130454,1,7,1,3,3,1,9
32982,1,2,3,4,4,1,9
88123,1,5,6,6,6,1,3
63821,1,3,4,5,6,2,4
119403,1,6,0,5,6,1,8
103594,1,5,6,3,4,2,8
141346,1,7,1,5,5,1,8
11942,1,1,2,5,5,1,9
34921,1,2,3,5,6,1,9
120126,1,6,0,8,8,1,8
94334,1,5,6,4,5,1,3
124092,1,6,0,6,6,1,8
143066,1,7,1,3,3,1,0
72202,1,4,5,2,3,1,8
79291,1,4,5,8,3,2,2
105503,1,5,6,5,6,1,8
120719,1,6,0,2,3,1,9
56423,1,3,4,4,4,1,8
58752,1,3,4,7,7,1,9
54977,1,3,4,3,5,2,3
87116,1,5,6,6,7,1,0
69941,1,4,5,7,7,1,3
80557,1,4,5,4,5,2,0
20821,1,2,3,6,7,1,0
84945,1,5,6,5,5,1,0
21081,1,2,3,3,6,2,1
145428,1,7,1,7,7,1,8
47158,1,3,4,6,7,1,8
61757,1,3,4,5,6,1,8
140956,1,7,1,7,8,1,8
78710,1,4,5,4,5,2,9
24069,1,2,3,3,3,2,3
42762,1,3,4,6,6,1,6
95769,1,5,6,3,4,1,0
1397,1,1,2,5,5,1,8
144641,1,7,1,7,8,1,8
143555,1,7,1,3,4,1,0
62317,1,3,4,7,7,1,0
97502,1,5,6,6,7,2,0
139877,1,7,1,6,6,1,3
54632,1,3,4,4,4,1,3
95389,1,5,6,7,8,1,3
30969,1,2,3,7,7,1,0
50925,1,3,4,6,7,2,5
24963,1,2,3,5,6,1,8
3962,1,1,2,3,3,1,3
138259,1,7,1,3,4,2,0
146296,1,7,1,7,7,1,0
34102,1,2,3,7,8,1,9
32529,1,2,3,5,6,1,8
32394,1,2,3,5,6,1,7
30198,1,2,3,3,3,1,8
115671,1,6,0,6,7,1,0
102773,1,5,6,6,6,1,9
112420,1,6,0,5,7,2,3
96445,1,5,6,4,5,1,8
81763,1,4,5,6,8,2,3
17549,1,1,2,4,5,2,3
99779,1,5,6,3,3,1,9
113344,1,6,0,3,4,1,3
68924,1,4,5,3,4,2,8
65070,1,4,5,5,8,2,6
29120,1,2,3,8,8,1,0
28168,1,2,3,5,6,2,2
102675,1,5,6,7,8,1,9
77894,1,4,5,5,6,1,9
95307,1,5,6,8,2,2,3
135743,1,7,1,6,7,2,3
26754,1,2,3,7,7,1,9
19609,1,1,2,4,4,1,3
114858,1,6,0,3,4,1,5
52690,1,3,4,5,6,2,0
107528,1,6,0,7,7,1,9
123339,1,6,0,7,8,1,7
26320,1,2,3,4,5,1,9
56517,1,3,4,7,7,1,8
80897,1,4,5,4,6,2,0
10596,1,1,2,6,6,1,9
31574,1,2,3,5,5,2,0
150595,1,7,1,7,7,1,3
16885,1,1,2,3,3,1,0
585,1,1,2,5,6,1,9
47970,1,3,4,3,5,2,8
120856,1,6,0,5,6,1,9
45075,1,3,4,3,4,2,3
121161,1,6,0,7,8,1,8
102140,1,5,6,8,8,1,9
7916,1,1,2,7,8,1,7
3976,1,1,2,8,8,1,3
148567,1,7,1,4,5,1,0
42550,1,3,4,7,8,1,8
16286,1,1,2,3,6,2,1
102403,1,5,6,3,3,1,9
128333,1,6,0,3,4,2,3
90949,1,5,6,5,5,1,8
17233,1,1,2,5,5,1,0
27362,1,2,3,3,3,1,8
146233,1,7,1,7,8,1,3
108398,1,6,0,3,3,2,9
74318,1,4,5,5,6,1,8
79929,1,4,5,4,4,1,1
22725,1,2,3,3,3,2,3
60975,1,3,4,6,7,2,7
87040,1,5,6,7,8,1,0
140080,1,7,1,6,7,1,3
98044,1,5,6,6,7,1,0
88569,1,5,6,2,3,1,3
31380,1,2,3,6,7,2,0
26182,1,2,3,6,7,2,9
66731,1,4,5,6,7,1,0
51289,1,3,4,4,5,1,2
129557,1,6,0,7,7,1,3
112764,1,6,0,4,5,1,3
12581,1,1,2,7,7,1,9
147512,1,7,1,4,5,1,1
107872,1,6,0,3,3,1,9
32939,1,2,3,7,8,1,9
120358,1,6,0,5,5,1,3
89714,1,5,6,5,6,1,8
10641,1,1,2,5,6,1,9
114306,1,6,0,5,6,1,3
141875,1,7,1,3,4,1,8
143670,1,7,1,8,8,1,0
76381,1,4,5,2,3,1,3
41944,1,2,3,6,6,1,3
142957,1,7,1,7,7,1,0
19408,1,1,2,7,8,1,8
11987,1,1,2,3,4,1,9
73005,1,4,5,4,5,2,9
15572,1,1,2,8,2,2,2
53870,1,3,4,2,3,1,3
108939,1,6,0,5,5,1,9
28411,1,2,3,5,6,1,0
63808,1,3,4,4,5,2,4
100559,1,5,6,6,7,1,9
148287,1,7,1,5,6,1,0
132135,1,7,1,4,4,1,9
72273,1,4,5,3,4,1,8
41369,1,2,3,4,4,1,8
126119,1,6,0,3,4,1,0
120933,1,6,0,5,5,1,9
13380,1,1,2,5,7,2,2
133450,1,7,1,3,4,2,6
28492,1,2,3,7,8,1,0
127554,1,6,0,6,6,1,4
76551,1,4,5,4,6,2,3
124993,1,6,0,4,5,1,8
67721,1,4,5,7,1,1,3
85410,1,5,6,4,7,2,2
59106,1,3,4,5,6,1,8
99822,1,5,6,7,8,2,9
75299,1,4,5,6,7,1,0
126329,1,6,0,4,4,1,2
56323,1,3,4,4,4,1,8
79845,1,4,5,4,5,1,1
149226,1,7,1,7,7,1,3
54167,1,3,4,6,7,1,3
3951,1,1,2,7,8,1,3
37762,1,2,3,4,5,1,0
128929,1,6,0,7,7,1,8
53278,1,3,4,3,4,2,0
77476,1,4,5,6,7,1,3
51365,1,3,4,4,5,1,2
146354,1,7,1,6,6,1,0
146999,1,7,1,5,5,1,1
83296,1,4,5,6,7,1,8
14510,1,1,2,7,8,1,4
142,1,1,2,6,6,1,9
37314,1,2,3,3,3,1,3
1384,1,1,2,4,4,1,8
27977,1,2,3,3,4,1,2
150433,1,7,1,3,4,1,3
98641,1,5,6,3,3,1,8
135071,1,7,1,7,7,1,3
120713,1,6,0,6,7,1,9
94151,1,5,6,5,5,1,3
24020,1,2,3,7,8,1,3
144133,1,7,1,4,6,2,0
119364,1,6,0,6,7,1,8
20072,1,2,3,5,5,2,5
21748,1,2,3,4,5,2,0
141448,1,7,1,5,6,1,8
83659,1,4,5,2,3,1,8
2425,1,1,2,3,4,1,0
14651,1,1,2,5,6,1,4
97017,1,5,6,5,6,1,0
42888,1,3,4,3,4,1,0
86530,1,5,6,3,4,1,0
124422,1,6,0,3,4,2,8
134336,1,7,1,5,6,1,0
97472,1,5,6,6,7,1,0
86386,1,5,6,4,4,1,1
28182,1,2,3,6,7,1,2
119384,1,6,0,6,6,2,8
33031,1,2,3,6,6,2,9
124140,1,6,0,3,3,1,8
125564,1,6,0,7,7,1,8
69972,1,4,5,5,6,1,8
29128,1,2,3,4,5,1,0
10801,1,1,2,5,5,1,9
42404,1,3,4,6,7,1,0
43818,1,3,4,4,5,2,0
103031,1,5,6,8,1,1,9
125887,1,6,0,4,5,1,0
85369,1,5,6,6,8,2,2
37546,1,2,3,8,8,1,0
37749,1,2,3,4,5,1,0
8114,1,1,2,4,5,1,7
97153,1,5,6,6,6,1,0
113026,1,6,0,5,7,2,3
60077,1,3,4,5,6,1,0
54474,1,3,4,5,6,1,3
84288,1,4,5,3,4,1,8
3897,1,1,2,6,6,1,3
102490,1,5,6,4,5,1,9
44681,1,3,4,4,5,1,0
90028,1,5,6,5,6,1,8
108,1,1,2,5,5,1,9
87598,1,5,6,7,8,1,0
43008,1,3,4,2,3,1,0
868,1,1,2,7,8,1,9
39707,1,2,3,4,4,1,8
149230,1,7,1,3,4,1,3
76352,1,4,5,6,6,1,3
82985,1,4,5,5,6,1,8
106260,1,5,6,4,6,2,8
124601,1,6,0,3,5,2,8
104406,1,5,6,6,6,2,1
128109,1,6,0,2,5,2,3
73798,1,4,5,3,3,1,9
1516,1,1,2,7,8,1,8
11080,1,1,2,5,7,2,9
121397,1,6,0,6,6,1,0
61740,1,3,4,7,8,1,8
29759,1,2,3,4,5,1,0
61047,1,3,4,5,6,1,7
1810,1,1,2,7,8,1,0
84586,1,5,6,3,5,2,5
118232,1,6,0,6,6,2,3
19066,1,1,2,8,8,1,8
57380,1,3,4,7,7,1,9
36013,1,2,3,3,4,1,0
82416,1,4,5,4,4,1,3
55948,1,3,4,7,8,1,8
46391,1,3,4,7,8,1,8
110390,1,6,0,6,6,1,6
142558,1,7,1,3,4,1,8
44473,1,3,4,3,3,1,0
56384,1,3,4,3,3,1,8
62737,1,3,4,7,8,2,2
91090,1,5,6,5,6,1,0
66319,1,4,5,3,4,1,0
142657,1,7,1,8,8,1,8
126292,1,6,0,6,7,1,2
64961,1,4,5,5,5,1,8
88573,1,5,6,5,6,1,3
67299,1,4,5,5,6,1,3
19273,1,1,2,6,6,1,8
61359,1,3,4,8,1,1,7
145684,1,7,1,5,6,1,0
38204,1,2,3,3,3,1,3
98988,1,5,6,8,2,2,8
70406,1,4,5,6,7,1,0
58067,1,3,4,5,7,2,9
79641,1,4,5,4,4,1,0
13879,1,1,2,3,5,2,0
89604,1,5,6,3,3,1,8
119766,1,6,0,5,6,1,8
137386,1,7,1,4,4,1,8
47463,1,3,4,4,5,1,8
129880,1,7,1,4,5,2,9
144856,1,7,1,3,3,1,8
134319,1,7,1,3,4,1,0
99001,1,5,6,7,8,2,8
12080,1,1,2,4,5,2,9
147819,1,7,1,3,3,1,0
28518,1,2,3,3,3,1,0
133717,1,7,1,7,8,1,0
90749,1,5,6,7,7,1,8
103451,1,5,6,5,5,1,0
38683,1,2,3,6,8,1,3
47316,1,3,4,5,5,1,8
146757,1,7,1,4,5,1,2
83015,1,4,5,5,6,1,8
37561,1,2,3,3,3,1,0
131678,1,7,1,5,5,1,9
14737,1,1,2,3,4,1,0
29358,1,2,3,3,3,2,4
147659,1,7,1,5,6,1,0
90127,1,5,6,4,5,1,8
130599,1,7,1,5,6,1,9
44997,1,3,4,3,4,1,3
131335,1,7,1,5,7,2,9
123444,1,6,0,5,6,1,8
9739,1,1,2,3,3,1,8
62827,1,3,4,4,5,1,2
106412,1,5,6,3,4,1,0
124622,1,6,0,3,5,2,8
149976,1,7,1,4,4,1,8
53395,1,3,4,4,4,1,0
30102,1,2,3,5,6,1,3
27107,1,2,3,3,3,1,3
75332,1,4,5,6,6,1,0
15975,1,1,2,3,4,1,1
28829,1,2,3,7,8,2,0
32788,1,2,3,5,5,1,9
129216,1,6,0,3,3,1,0
34068,1,2,3,6,7,1,9
104359,1,5,6,5,5,1,1
95890,1,5,6,6,7,1,3
112121,1,6,0,5,6,2,3
89915,1,5,6,6,6,1,8
59373,1,3,4,4,4,1,0
30397,1,2,3,4,4,1,0
7390,1,1,2,3,3,1,0
91149,1,5,6,8,8,1,0
78516,1,4,5,7,8,2,9
79084,1,4,5,3,4,1,0
100100,1,5,6,5,6,2,9
149823,1,7,1,5,6,1,3
128008,1,6,0,4,4,1,3
47439,1,3,4,8,8,1,8
147224,1,7,1,4,5,1,1
86529,1,5,6,5,7,2,0
134075,1,7,1,6,7,1,1
30877,1,2,3,6,6,1,0
89633,1,5,6,5,7,2,8
60042,1,3,4,5,6,2,0
131311,1,7,1,3,6,2,9
22843,1,2,3,6,6,1,3
88285,1,5,6,5,5,1,3
89427,1,5,6,3,3,1,8
40049,1,2,3,3,4,2,8
44171,1,3,4,3,4,2,7
149134,1,7,1,6,6,1,3
75331,1,4,5,5,6,1,0
123594,1,6,0,4,4,1,8
144106,1,7,1,3,4,1,0
121346,1,6,0,8,8,1,8
115885,1,6,0,5,6,1,1
95165,1,5,6,3,4,1,3
76912,1,4,5,5,8,2,3
141424,1,7,1,6,7,1,8
115921,1,6,0,6,8,2,1
13861,1,1,2,5,6,1,0
127665,1,6,0,8,1,1,4
44676,1,3,4,7,8,1,0
80146,1,4,5,3,4,2,1
91219,1,5,6,4,5,1,0
74873,1,4,5,5,6,2,2
133473,1,7,1,3,3,1,6
69374,1,4,5,7,8,1,8
111592,1,6,0,7,8,1,7
107766,1,6,0,7,8,1,9
43810,1,3,4,7,8,1,0
145485,1,7,1,3,4,1,8
149187,1,7,1,6,6,1,3
73887,1,4,5,4,5,1,9
121127,1,6,0,5,5,1,9
134667,1,7,1,7,8,2,7
34665,1,2,3,3,4,1,9
65365,1,4,5,4,4,1,0
98855,1,5,6,3,4,1,8
58705,1,3,4,6,6,2,9
122000,1,6,0,3,4,1,0
130929,1,7,1,6,7,2,9
117236,1,6,0,2,4,2,0
84309,1,4,5,5,5,1,8
130006,1,7,1,4,5,1,9
98278,1,5,6,8,1,1,7
54381,1,3,4,4,5,1,3
91191,1,5,6,6,6,1,0
85758,1,5,6,5,5,1,1
11601,1,1,2,4,6,2,9
67682,1,4,5,7,8,1,3
97512,1,5,6,6,7,1,0
128950,1,6,0,3,3,1,8
72371,1,4,5,7,8,1,8
89437,1,5,6,3,3,1,8
82421,1,4,5,6,7,1,3
147199,1,7,1,3,4,1,1
150010,1,7,1,5,6,1,8
101365,1,5,6,7,7,1,9
67436,1,4,5,8,8,1,3
51357,1,3,4,7,7,1,2
91717,1,5,6,6,7,1,2
142868,1,7,1,4,4,1,0
99999,1,5,6,8,1,1,9
93423,1,5,6,8,8,1,3
81984,1,4,5,4,5,1,3
129464,1,6,0,3,4,1,3
55066,1,3,4,7,7,1,3
99170,1,5,6,3,4,1,8
129525,1,6,0,4,4,1,3
19336,1,1,2,4,4,1,8
116827,1,6,0,2,4,1,0
81239,1,4,5,4,4,1,0
31069,1,2,3,5,5,1,0
72452,1,4,5,6,7,1,9
16949,1,1,2,3,4,1,0
117526,1,6,0,3,3,1,0
97154,1,5,6,6,7,1,0
88286,1,5,6,6,6,1,3
43198,1,3,4,6,6,1,1
54067,1,3,4,8,1,2,3
55040,1,3,4,2,3,1,3
36215,1,2,3,4,5,1,1
121149,1,6,0,4,4,1,9
51288,1,3,4,8,3,2,2
45136,1,3,4,4,4,1,3
119707,1,6,0,2,3,1,8
68375,1,4,5,5,6,1,8
49168,1,3,4,3,4,2,9
67742,1,4,5,7,8,1,3
98514,1,5,6,6,7,1,7
61911,1,3,4,5,5,1,8
73515,1,4,5,3,4,1,9
54556,1,3,4,4,4,1,3
36563,1,2,3,5,7,2,0
78491,1,4,5,6,7,1,9
47375,1,3,4,7,8,1,8
116568,1,6,0,8,8,1,0
80363,1,4,5,3,4,2,1
103946,1,5,6,6,6,1,0
90199,1,5,6,5,6,1,8
119066,1,6,0,5,6,1,8
8170,1,1,2,6,7,1,3
111723,1,6,0,5,6,1,7
39598,1,2,3,7,7,1,8
7705,1,1,2,5,6,2,0
40398,1,2,3,3,4,1,8
16579,1,1,2,6,6,2,1
70275,1,4,5,7,8,1,0
127646,1,6,0,3,5,2,4
26278,1,2,3,4,4,1,9
88089,1,5,6,6,7,1,3
97030,1,5,6,5,6,1,0
81722,1,4,5,2,5,2,3
104209,1,5,6,3,4,1,1
24767,1,2,3,5,5,2,3
65176,1,4,5,5,5,1,6
18730,1,1,2,8,2,2,8
38375,1,2,3,4,4,1,3
1772,1,1,2,3,4,1,0
30951,1,2,3,2,3,1,0
2315,1,1,2,4,5,2,0
120563,1,6,0,8,8,1,9
29440,1,2,3,6,7,1,4
1571,1,1,2,3,4,1,6
140071,1,7,1,3,4,1,3
14846,1,1,2,6,6,1,0
4939,1,1,2,3,6,2,8
66904,1,4,5,7,8,1,0
28396,1,2,3,8,2,2,0
88298,1,5,6,4,4,1,3
83849,1,4,5,4,5,1,8
59649,1,3,4,6,6,1,0
134448,1,7,1,8,2,2,0
99911,1,5,6,8,1,1,9
113739,1,6,0,4,4,1,3
121551,1,6,0,4,5,1,0
81024,1,4,5,2,3,1,0
62028,1,3,4,3,4,1,0
128368,1,6,0,3,3,1,3
89442,1,5,6,5,6,1,8
43444,1,3,4,8,4,3,0
121554,1,6,0,7,8,1,0
101037,1,5,6,7,7,2,9
86931,1,5,6,4,5,2,0
22034,1,2,3,8,3,2,0
59220,1,3,4,6,7,2,8
128963,1,6,0,6,6,1,8
27088,1,2,3,5,6,1,3
83743,1,4,5,5,6,1,8
94613,1,5,6,6,7,1,3
112305,1,6,0,3,4,2,3
107934,1,6,0,5,7,2,9
79609,1,4,5,7,8,1,0
108103,1,6,0,4,4,1,9
100839,1,5,6,2,3,1,9
120815,1,6,0,3,3,1,9
103902,1,5,6,4,4,1,6
42781,1,3,4,6,6,1,6
96224,1,5,6,6,7,2,9
126225,1,6,0,6,7,1,0
80814,1,4,5,8,8,1,0
36714,1,2,3,4,5,1,0
6231,1,1,2,7,8,1,0
90449,1,5,6,7,7,1,8
79050,1,4,5,8,1,2,0
61463,1,3,4,7,7,1,8
95576,1,5,6,5,5,1,3
53579,1,3,4,6,7,1,3
108313,1,6,0,7,8,1,9
144932,1,7,1,5,6,1,8
58250,1,3,4,5,5,2,9
50783,1,3,4,3,3,1,5
97909,1,5,6,4,5,1,0
83379,1,4,5,4,5,1,8
53953,1,3,4,3,4,1,3
87920,1,5,6,7,7,1,3
137515,1,7,1,5,6,1,0
105720,1,5,6,5,5,1,8
63337,1,3,4,5,5,1,0
64331,1,3,4,7,7,1,3
121504,1,6,0,8,8,1,0
93919,1,5,6,7,7,2,3
132563,1,7,1,2,3,1,9
131343,1,7,1,7,8,1,9
149265,1,7,1,2,3,1,3
2212,1,1,2,3,4,1,0
62905,1,3,4,7,7,2,0
130029,1,7,1,3,4,1,9
66664,1,4,5,4,5,1,3
81945,1,4,5,6,8,2,3
93247,1,5,6,4,6,2,3
58975,1,3,4,5,6,1,3
136124,1,7,1,2,3,1,3
60097,1,3,4,4,5,1,0
87757,1,5,6,4,5,1,1
101018,1,5,6,5,6,1,9
131757,1,7,1,3,4,1,9
85393,1,5,6,7,1,2,2
146624,1,7,1,6,7,1,2
42539,1,3,4,3,3,1,8
34491,1,2,3,5,5,1,9
119738,1,6,0,7,8,1,8
111993,1,6,0,7,7,1,3
111501,1,6,0,4,5,2,0
131104,1,7,1,3,4,1,9
43759,1,3,4,6,7,2,0
30065,1,2,3,3,4,1,3
61825,1,3,4,6,6,1,8
121832,1,6,0,4,5,1,0
97329,1,5,6,4,5,2,0
147228,1,7,1,4,5,1,1
132281,1,7,1,3,3,1,9
46744,1,3,4,6,7,1,8
91393,1,5,6,6,6,1,0
31685,1,2,3,5,6,1,0
113158,1,6,0,2,3,1,3
80744,1,4,5,4,4,1,0
82244,1,4,5,2,3,1,3
133469,1,7,1,3,3,1,6
117948,1,6,0,3,3,1,1
122239,1,6,0,4,4,1,0
61621,1,3,4,2,3,1,8
65632,1,4,5,8,8,1,1
13519,1,1,2,2,3,1,1
